#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
33,Canada,"4,641,301",,"52,247                                ",,"4,587,047","+1,003","2,007",99,"120,904","1,361","66,343,123","1,728,207","38,388,419 ",North America,,87351,,,52
34,Czechia,"4,640,871",,"42,780                                ",,"4,595,961",,"2,130",6,"432,240","3,984","57,187,704","5,326,335","10,736,784 ",Europe,,22510,,,198
35,Peru,"4,503,222",,"220,196                                ",,"4,280,382",+176,"2,644",26,"133,689","6,537","38,548,796","1,144,417","33,684,208 ",South America,,71531,,,78
36,Switzerland,"4,402,438",,"14,452                                ",,"4,384,636",,"3,350",39,"501,780","1,647","23,833,472","2,716,487","8,773,637 ",Europe,,26070,,,382
37,Philippines,"4,099,088",,"66,444                                ",,"4,023,485",,"9,159",162,"36,433",591,"35,054,503","311,571","112,508,994 ",Asia,,"271,6933",,,81
38,South Africa,"4,076,463",,"102,595                                ",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135 ",Africa,,155922,,,"1,010"
39,Romania,"3,393,902",,"68,089                                ",,"3,314,667",,"11,146",128,"178,332","3,578","27,242,332","1,431,446","19,031,335 ",Europe,,62801,,,586
40,Denmark,"3,180,881",,"8,586                                ",,"3,171,497",,798,19,"545,143","1,471","129,270,612","22,154,536","5,834,950 ",Europe,,26800,,,137
41,Hong Kong,"2,893,357",,"13,583                                ",,"2,871,242",,"8,532",28,"380,490","1,786","76,127,725","10,011,143","7,604,299 ",Asia,,35600,,,"1,122"
42,Sweden,"2,707,189",,"24,141                                ",,"2,679,298",+144,"3,750",8,"264,918","2,362","19,500,873","1,908,301","10,218,971 ",Europe,,44231,,,367
43,Serbia,"2,536,792",,"18,026                                ",,"2,511,154",,"7,612",15,"293,169","2,083","12,815,227","1,481,013","8,653,016 ",Europe,,34801,,,880
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,,"171,6622",,,16
45,Singapore,"2,340,779",,"1,727                                ",,"2,149,583",,"189,469",2,"393,835",291,"24,756,666","4,165,302","5,943,546 ",Asia,,"33,4420",,,"31,878"
46,New Zealand,"2,324,094",,"4,154                                ",,"2,310,320",,"9,620",,"474,479",848,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,,"21,1791",,,"1,964"
47,Hungary,"2,201,824",,"48,849                                ",,"2,149,292",,"3,683",13,"229,207","5,085","11,394,556","1,186,160","9,606,259 ",Europe,,41971,,,383
48,Bangladesh,"2,038,250",,"29,446                                ",,"1,998,448",,"10,356",N/A,"12,141",175,"15,254,399","90,862","167,885,689 ",Asia,,"825,70111",,,62
49,Slovakia,"1,866,470",,"21,167                                ",,"1,845,131",+34,172,18,"341,832","3,877","7,427,231","1,360,251","5,460,193 ",Europe,,32581,,,32
